"","src_subject_id","eventname","reshist_addr1_adi_wsum","reshist_addr1_adi_perc"
"4705","NDAR_INVDJHUKGLH","baseline_year_1_arm_1",55.988388,5
"4706","NDAR_INVDJU1GZNN","baseline_year_1_arm_1",86.57678,18
"4707","NDAR_INVDKEXEJKC","baseline_year_1_arm_1",89.95984,22
"4708","NDAR_INVDP1WJ2JC","baseline_year_1_arm_1",122.335045,100
"4709","NDAR_INVDP5670V4","baseline_year_1_arm_1",116.1425,87
"4710","NDAR_INVDU5LPVRJ","baseline_year_1_arm_1",76.357216,11
"4711","NDAR_INVDU8NAVRN","baseline_year_1_arm_1",113.77251,77
"4712","NDAR_INVDXVYN6W5","baseline_year_1_arm_1",97.03549,31
"4713","NDAR_INVDY0X871X","baseline_year_1_arm_1",117.36223,91
"4714","NDAR_INVDYACTVYF","baseline_year_1_arm_1",119.807945,96
"4715","NDAR_INVDKJDWHJH","baseline_year_1_arm_1",68.692635,8
"4716","NDAR_INVDKM7MF67","baseline_year_1_arm_1",104.048645,45
"4717","NDAR_INVDP6X7EL4","baseline_year_1_arm_1",98.38921,33
"4718","NDAR_INVDPB4NHEX","baseline_year_1_arm_1",118.97736,95
"4719","NDAR_INVDUJJ740F","baseline_year_1_arm_1",81.90967,15
"4720","NDAR_INVDUKN0GD9","baseline_year_1_arm_1",115.058754,82
"4721","NDAR_INVDULBXX1K","baseline_year_1_arm_1",102.75149,41
"4722","NDAR_INVDYP4KLFJ","baseline_year_1_arm_1",106.586105,52
"4723","NDAR_INVDKMHGCEM","baseline_year_1_arm_1",101.81482,39
"4724","NDAR_INVDKUF65EK","baseline_year_1_arm_1",58.332756,5
"4725","NDAR_INVDPM9DWBB","baseline_year_1_arm_1",46.521378,3
"4726","NDAR_INVDPMB558X","baseline_year_1_arm_1",NA,NA
"4727","NDAR_INVDV2D7CXJ","baseline_year_1_arm_1",113.77968,77
"4728","NDAR_INVDV34EFNH","baseline_year_1_arm_1",112.82685,73
"4729","NDAR_INVDXR1A58H","baseline_year_1_arm_1",95.63689,29
"4730","NDAR_INVDXUEU10W","baseline_year_1_arm_1",98.23659,33
"4731","NDAR_INVDKXF1X2F","baseline_year_1_arm_1",85.137924,17
"4732","NDAR_INVDL4TR86H","baseline_year_1_arm_1",110.593216,65
"4733","NDAR_INVDPT16GX3","baseline_year_1_arm_1",115.47065,84
"4734","NDAR_INVDPU8752W","baseline_year_1_arm_1",72.49028,9
"4735","NDAR_INVDV403EUN","baseline_year_1_arm_1",89.95984,22
"4736","NDAR_INVDV5217A4","baseline_year_1_arm_1",107.97295,56
"4737","NDAR_INVDV9BCU3J","baseline_year_1_arm_1",106.36459,51
"4738","NDAR_INVDYB30L2R","baseline_year_1_arm_1",98.39727,33
"4739","NDAR_INVDYB5X09B","baseline_year_1_arm_1",80.16252,13
"4740","NDAR_INVDL871HVM","baseline_year_1_arm_1",85.96623,18
"4741","NDAR_INVDL8U4ZNT","baseline_year_1_arm_1",67.53275,8
"4742","NDAR_INVDPWJMF3B","baseline_year_1_arm_1",95.1851,28
"4743","NDAR_INVDV9BYP17","baseline_year_1_arm_1",77.72526,12
"4744","NDAR_INVDVJ76ALR","baseline_year_1_arm_1",123.71294,100
"4745","NDAR_INVDYPE3LNV","baseline_year_1_arm_1",44.792633,3
"4746","NDAR_INVDYR0ZBCZ","baseline_year_1_arm_1",98.724075,34
"4747","NDAR_INVDYRVD6AZ","baseline_year_1_arm_1",63.5288,7
"4748","NDAR_INVDLEUAKLH","baseline_year_1_arm_1",80.45381,14
"4749","NDAR_INVDPYR4KM2","baseline_year_1_arm_1",107.29991,54
"4750","NDAR_INVDR13TAXK","baseline_year_1_arm_1",101.33927,38
"4751","NDAR_INVDVMAP47N","baseline_year_1_arm_1",82.68911,15
"4752","NDAR_INVDVVR7GEL","baseline_year_1_arm_1",100.03558,36
"4753","NDAR_INVDXVD4UW0","baseline_year_1_arm_1",109.87879,63
"4754","NDAR_INVDLG15XM2","baseline_year_1_arm_1",120.11516,97
"4755","NDAR_INVDLJB7FKL","baseline_year_1_arm_1",110.7196,66
"4756","NDAR_INVDR3M36J1","baseline_year_1_arm_1",98.56069,33
"4757","NDAR_INVDR4CWHTM","baseline_year_1_arm_1",80.92483,14
"4758","NDAR_INVDW0J04J4","baseline_year_1_arm_1",98.75485,34
"4759","NDAR_INVDW1BKLJN","baseline_year_1_arm_1",95.02519,28
"4760","NDAR_INVDH67XW36","baseline_year_1_arm_1",100.10975,36
"4761","NDAR_INVDH8W6H22","baseline_year_1_arm_1",88.558716,20
"4762","NDAR_INVDLMML76V","baseline_year_1_arm_1",114.385315,80
"4763","NDAR_INVDLR8T512","baseline_year_1_arm_1",117.17928,90
"4764","NDAR_INVDLRDW633","baseline_year_1_arm_1",100.47854,37
"4765","NDAR_INVDREL4LBY","baseline_year_1_arm_1",116.63924,88
"4766","NDAR_INVDRM97DTU","baseline_year_1_arm_1",66.87871,7
"4767","NDAR_INVDW2F4HTC","baseline_year_1_arm_1",114.131935,79
"4768","NDAR_INVDWAKH0W5","baseline_year_1_arm_1",79.33229,13
"4769","NDAR_INVDHCAPYWM","baseline_year_1_arm_1",99.59634,35
"4770","NDAR_INVDHCPMWJD","baseline_year_1_arm_1",123.44947,100
"4771","NDAR_INVDHCRAR0T","baseline_year_1_arm_1",120.45625,98
"4772","NDAR_INVDLXJMXAG","baseline_year_1_arm_1",101.987755,40
