"","src_subject_id","eventname","reshist_addr1_svi_tot_20142018"
"148","NDAR_INV0BKE31EY","baseline_year_1_arm_1",0.25
"149","NDAR_INV0BL9EL2Y","baseline_year_1_arm_1",0.8358
"150","NDAR_INV0BVP2PTD","baseline_year_1_arm_1",0.2309
"151","NDAR_INV0BXXNBH4","baseline_year_1_arm_1",0.0205
"152","NDAR_INV0CV2Y4YR","baseline_year_1_arm_1",0.2854
"153","NDAR_INV0CZBUV4C","baseline_year_1_arm_1",0.7431
"154","NDAR_INV0D0C239B","baseline_year_1_arm_1",0.0525
"155","NDAR_INV0D4C1R8X","baseline_year_1_arm_1",0.1082
"156","NDAR_INV0D5J9T8P","baseline_year_1_arm_1",0.9876
"157","NDAR_INV0D83M5VE","baseline_year_1_arm_1",0.2987
"158","NDAR_INV0DBRJXKG","baseline_year_1_arm_1",0.3552
"159","NDAR_INV0DC9BJZK","baseline_year_1_arm_1",0.9869
"160","NDAR_INV0DG8XR2P","baseline_year_1_arm_1",0.4362
"161","NDAR_INV0CKA3YZX","baseline_year_1_arm_1",0.632
"162","NDAR_INV0CP9XGTP","baseline_year_1_arm_1",0.1078
"163","NDAR_INV0CRTHE21","baseline_year_1_arm_1",0.9493
"164","NDAR_INV0CTJAAHC","baseline_year_1_arm_1",0.1481
"165","NDAR_INV0DJJP33V","baseline_year_1_arm_1",NA
"166","NDAR_INV0DKWEM1A","baseline_year_1_arm_1",0.5094
"167","NDAR_INV0DYF4WPG","baseline_year_1_arm_1",0.4329
"168","NDAR_INV0E1RBR9J","baseline_year_1_arm_1",0.1842
"169","NDAR_INV0E350J5D","baseline_year_1_arm_1",0.0841
"170","NDAR_INV0E4CT74P","baseline_year_1_arm_1",0.2222
"171","NDAR_INV0E9UFT0K","baseline_year_1_arm_1",0.4689
"172","NDAR_INV0EV57VEX","baseline_year_1_arm_1",0.1705
"173","NDAR_INV0EVRF8BN","baseline_year_1_arm_1",0.1698
"174","NDAR_INV0EWGP0U5","baseline_year_1_arm_1",0.2548
"175","NDAR_INV0EXY6KFW","baseline_year_1_arm_1",0.7869
"176","NDAR_INV0F3UJ9CT","baseline_year_1_arm_1",0.7584
